	index_livre	book_id	index_user	user_id	rating
0	0	1061	7	53292	5
1	0	1061	23	28767	3
2	0	1061	25	50999	4
3	0	1061	28	26145	3
4	0	1061	34	25840	5
5	0	1061	66	9011	4
6	0	1061	77	17566	5
7	0	1061	79	10288	5
8	0	1061	87	24326	3
9	0	1061	88	16569	4
10	0	1061	91	40490	5
11	0	1061	92	11272	3
12	0	1061	93	37284	4
13	0	1061	95	8167	4
14	0	1061	109	2900	4
15	0	1061	118	1952	5
16	0	1061	119	15020	2
17	0	1061	124	49298	4
18	0	1061	133	33872	5
19	0	1061	143	23303	4
20	0	1061	144	40251	4
21	0	1061	155	25182	5
22	0	1061	158	29951	2
23	0	1061	171	8669	3
24	0	1061	179	8710	4
25	0	1061	214	12668	2
26	0	1061	218	8370	4
27	0	1061	223	1169	4
28	0	1061	234	33357	3
29	0	1061	235	14890	4
30	0	1061	241	20406	5
31	0	1061	251	16576	4
32	0	1061	253	23497	4
33	0	1061	278	11911	5
34	0	1061	289	12002	3
35	0	1061	293	45493	4
36	0	1061	305	6025	4
37	0	1061	351	45811	3
38	0	1061	354	23004	5
39	0	1061	364	6323	3
40	0	1061	377	9195	4
41	0	1061	386	26750	5
42	0	1061	398	9919	4
43	0	1061	403	46958	3
44	0	1061	407	23874	4
45	0	1061	425	17665	3
46	0	1061	435	35296	4
47	0	1061	439	17010	4
48	0	1061	472	24962	4
49	0	1061	473	15522	3
50	0	1061	482	48809	3
51	0	1061	499	41534	3
52	0	1061	537	32834	5
53	0	1061	571	43325	3
54	0	1061	572	18053	4
55	0	1061	575	41616	4
56	0	1061	580	10317	4
57	0	1061	589	32916	4
58	0	1061	593	13019	2
59	1	3397	17	37834	5
60	1	3397	145	35982	5
61	1	3397	310	29689	1
62	1	3397	349	35568	4
63	1	3397	520	13378	4
64	1	3397	550	10110	5
65	1	3397	586	21237	5
66	1	3397	603	28541	3
67	2	3523	54	9246	4
68	2	3523	454	26400	4
69	2	3523	504	13361	5
70	2	3523	551	29353	4
71	2	3523	602	274	5
72	3	202	0	52036	1
73	3	202	96	12476	1
74	3	202	126	49288	5
75	3	202	130	16913	3
76	3	202	145	35982	1
77	3	202	147	49297	5
78	3	202	148	49289	5
79	3	202	150	49295	5
80	3	202	180	5115	2
81	3	202	197	13282	5
82	3	202	222	49830	5
83	3	202	231	18316	2
84	3	202	253	23497	2
85	3	202	254	13000	2
86	3	202	259	50774	1
87	3	202	260	41577	4
88	3	202	323	25030	3
89	3	202	326	22368	4
90	3	202	335	33716	3
91	3	202	340	52583	2
92	3	202	373	24011	3
93	3	202	376	41113	3
94	3	202	395	51452	2
95	3	202	424	44023	3
96	3	202	478	40961	2
97	3	202	524	41435	5
98	3	202	531	19984	5
99	3	202	547	43418	5
100	3	202	561	43384	5
101	3	202	572	18053	4
102	4	4549	84	29703	3
103	4	4549	229	6063	4
104	4	4549	271	2171	3
105	4	4549	278	11911	5
106	4	4549	413	9722	2
107	4	4549	440	44836	4
108	4	4549	475	8302	3
109	4	4549	490	16129	4
110	4	4549	566	8833	3
111	4	4549	577	53245	3
112	4	4549	598	19138	3
113	5	2496	87	24326	2
114	5	2496	167	8909	2
115	5	2496	174	30313	4
116	5	2496	188	3641	5
117	5	2496	286	28943	2
118	5	2496	292	26942	4
119	5	2496	383	26800	3
120	5	2496	598	19138	2
121	5	2496	602	274	4
122	6	2363	17	37834	4
123	6	2363	129	14603	5
124	6	2363	168	23576	4
125	6	2363	187	50104	5
126	6	2363	255	31305	3
127	6	2363	273	26053	3
128	6	2363	296	50102	5
129	6	2363	302	13163	4
130	6	2363	425	17665	4
131	6	2363	450	15547	4
132	6	2363	461	15194	4
133	6	2363	504	13361	4
134	6	2363	511	41145	5
135	7	3200	0	52036	3
136	7	3200	44	17643	3
137	7	3200	233	10246	5
138	7	3200	306	40468	5
139	7	3200	380	43039	5
140	7	3200	601	50342	4
141	8	1719	12	6630	3
142	8	1719	74	10402	2
143	8	1719	93	37284	4
144	8	1719	139	2324	3
145	8	1719	141	33864	3
146	8	1719	195	13034	4
147	8	1719	220	15494	3
148	8	1719	373	24011	4
149	8	1719	378	22313	5
150	8	1719	436	48822	3
151	8	1719	458	5245	4
152	8	1719	471	17678	4
153	8	1719	484	35866	3
154	8	1719	496	7999	2
155	8	1719	527	30160	1
156	8	1719	555	22319	5
157	8	1719	577	53245	3
158	8	1719	594	10662	3
159	8	1719	600	52007	5
160	9	4112	69	21733	3
161	9	4112	130	16913	5
162	9	4112	163	17434	3
163	9	4112	238	8454	3
164	9	4112	359	25938	4
165	9	4112	364	6323	3
166	9	4112	442	39423	3
167	9	4112	537	32834	5
168	10	947	33	48440	4
169	10	947	56	12471	2
170	10	947	122	20782	5
171	10	947	254	13000	4
172	10	947	424	44023	5
173	10	947	427	44171	1
174	10	947	480	18090	5
175	10	947	563	43176	5
176	11	107	2	45554	1
177	11	107	5	12874	4
178	11	107	16	12946	3
179	11	107	18	26629	3
180	11	107	27	8484	4
181	11	107	39	19724	1
182	11	107	42	46139	4
183	11	107	46	7001	3
184	11	107	49	10509	3
185	11	107	50	21217	3
186	11	107	51	48687	5
187	11	107	53	21228	2
188	11	107	55	30681	4
189	11	107	58	5885	4
190	11	107	63	36695	3
191	11	107	64	10249	4
192	11	107	67	18031	4
193	11	107	77	17566	3
194	11	107	89	42404	5
195	11	107	114	12466	2
196	11	107	119	15020	2
197	11	107	120	23603	4
198	11	107	121	4536	3
199	11	107	130	16913	3
200	11	107	142	11408	4
201	11	107	146	37690	1
202	11	107	149	51838	4
203	11	107	152	19191	4
204	11	107	159	51166	4
205	11	107	169	32592	4
206	11	107	178	13776	4
207	11	107	181	27612	2
208	11	107	215	26579	3
209	11	107	224	9244	3
210	11	107	260	41577	4
211	11	107	264	21487	3
212	11	107	267	2838	2
213	11	107	269	47018	4
214	11	107	270	27900	4
215	11	107	272	9804	2
216	11	107	278	11911	5
217	11	107	280	13629	3
218	11	107	282	3662	3
219	11	107	291	16177	5
220	11	107	295	3918	2
221	11	107	302	13163	2
222	11	107	305	6025	4
223	11	107	318	17222	3
224	11	107	323	25030	4
225	11	107	326	22368	4
226	11	107	329	11317	3
227	11	107	330	30290	3
228	11	107	339	1794	5
229	11	107	340	52583	3
230	11	107	341	15010	5
231	11	107	346	35259	3
232	11	107	350	41402	3
233	11	107	354	23004	3
234	11	107	358	30601	4
235	11	107	359	25938	1
236	11	107	376	41113	3
237	11	107	385	40819	3
238	11	107	395	51452	2
239	11	107	403	46958	4
240	11	107	407	23874	3
241	11	107	413	9722	2
242	11	107	414	21676	4
243	11	107	416	9843	5
244	11	107	417	38766	5
245	11	107	427	44171	1
246	11	107	433	40884	4
247	11	107	444	49382	4
248	11	107	451	14177	4
249	11	107	452	28540	5
250	11	107	473	15522	3
251	11	107	475	8302	3
252	11	107	476	8188	3
253	11	107	478	40961	4
254	11	107	492	46823	5
255	11	107	497	16081	1
256	11	107	503	27125	4
257	11	107	519	9384	1
258	11	107	531	19984	5
259	11	107	542	37782	1
260	11	107	547	43418	5
261	11	107	552	46479	4
262	11	107	556	43397	5
263	11	107	560	3757	3
264	11	107	561	43384	5
